                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  1.753,                 1.7074,                 1.9515,                0.51725,                0.36802,                0.40143,                0.19278,                 1.9813,                 2.0262,                  2.034,               0.000911,               0.000911,               0.000911
                     36,                 1.7142,                 1.6746,                 1.9262,                0.54289,                0.40848,                0.41962,                0.19406,                 2.0044,                 2.0817,                 2.0424,               0.000878,               0.000878,               0.000878
                     37,                 1.7189,                 1.6212,                 1.9246,                0.51879,                 0.4104,                0.43552,                0.21011,                 1.9638,                  1.953,                 2.0041,               0.000845,               0.000845,               0.000845
                     38,                 1.6967,                 1.6685,                 1.9304,                0.43506,                0.36609,                0.38585,                0.17862,                  2.006,                 2.1237,                 2.0562,               0.000812,               0.000812,               0.000812
                     39,                  1.735,                 1.6824,                 1.9265,                0.45617,                0.40655,                0.40388,                0.16946,                 2.0619,                 2.0714,                  2.088,               0.000779,               0.000779,               0.000779
                     40,                  1.713,                 1.6914,                 1.9576,                 0.5537,                0.40077,                  0.443,                0.20631,                 1.9824,                  1.967,                 2.0235,               0.000746,               0.000746,               0.000746
                     41,                 1.6514,                 1.6025,                 1.8721,                0.51591,                0.37572,                0.41005,                0.19454,                 2.0155,                 1.9871,                 2.0416,               0.000713,               0.000713,               0.000713
                     42,                 1.7079,                 1.6545,                  1.918,                0.57699,                0.42389,                 0.4764,                0.23773,                 1.8734,                 1.8401,                 1.9537,                0.00068,                0.00068,                0.00068
                     43,                 1.6369,                 1.5606,                   1.82,                0.54661,                0.40462,                0.44606,                0.22699,                 1.8512,                 1.9385,                 1.9776,               0.000647,               0.000647,               0.000647
                     44,                 1.6469,                 1.6007,                 1.8718,                0.60529,                0.40655,                 0.4598,                0.22507,                 1.8942,                 1.9017,                 1.9827,               0.000614,               0.000614,               0.000614
                     45,                  1.638,                 1.6078,                 1.8728,                0.57272,                0.44123,                0.48104,                 0.2353,                 1.8785,                 1.8297,                 1.9409,               0.000581,               0.000581,               0.000581
                     46,                 1.6328,                 1.5381,                  1.828,                 0.5182,                 0.4104,                0.43635,                0.21259,                 1.9186,                  1.976,                 1.9639,               0.000548,               0.000548,               0.000548
                     47,                 1.6255,                  1.525,                 1.8499,                0.55644,                0.45857,                0.48972,                0.25106,                 1.8291,                 1.7832,                 1.9094,               0.000515,               0.000515,               0.000515
                     48,                  1.616,                 1.5311,                 1.8486,                0.60055,                0.45857,                 0.4998,                0.24541,                 1.8815,                 1.8305,                 1.9355,               0.000482,               0.000482,               0.000482
                     49,                 1.5758,                 1.4609,                  1.791,                0.57909,                 0.4745,                 0.5134,                 0.2597,                 1.8426,                   1.76,                 1.8895,               0.000449,               0.000449,               0.000449
